CustomerID,CountryRegionName,Education,Occupation,Gender,MaritalStatus,NumberCarsOwned,TotalChildren,BikeBuyer,AgeRange,log_YearlyIncome
11033,Australia,High School,Skilled Manual,M,M,2,4,0,Between 45 and 55,10.486317508785204
11034,Australia,High School,Skilled Manual,F,M,2,4,0,Between 45 and 55,10.275637144113018
11035,Australia,Partial High School,Clerical,F,M,2,2,0,Between 45 and 55,9.36913738372318
11036,United States,Partial College,Skilled Manual,F,M,2,0,0,Under 25,11.349111579732014
11037,Canada,Partial High School,Clerical,F,S,2,0,0,Under 25,10.792427642387484
15127,Australia,Bachelors ,Professional,M,S,2,0,1,Under 25,11.771412993830227
11040,United States,Partial College,Skilled Manual,M,M,2,0,0,Under 25,10.937525763878996
11041,United States,Partial College,Skilled Manual,F,M,2,0,0,Under 25,11.266641221214377
11042,United States,Partial College,Skilled Manual,F,M,2,0,0,Under 25,11.165111149463693
11043,United States,Partial College,Skilled Manual,M,M,2,0,0,Under 25,11.266385335849623
11044,Australia,Partial High School,Clerical,M,M,2,2,0,Between 45 and 55,10.086100733470296
11045,Australia,High School,Skilled Manual,M,S,2,3,0,Between 45 and 55,10.848793249478808
11046,Australia,High School,Skilled Manual,F,M,2,3,0,Between 45 and 55,10.83561226271281
11047,Australia,High School,Skilled Manual,F,M,2,3,0,Between 45 and 55,10.662843733206408
11049,United States,Partial High School,Clerical,F,S,2,0,1,Under 25,10.787709534884778
11050,Australia,High School,Skilled Manual,M,M,2,3,0,Between 45 and 55,10.978233970102256
11051,Australia,High School,Skilled Manual,M,S,2,3,0,Between 45 and 55,10.736005294543881
11052,Australia,Partial College,Clerical,F,S,2,2,0,Between 45 and 55,10.83545476379529
11053,United States,Partial College,Skilled Manual,F,M,2,0,0,Under 25,11.425175633572064
11054,Australia,Partial College,Skilled Manual,F,M,2,2,0,Between 25 and 45,10.82013821962583
11055,Australia,Partial College,Skilled Manual,M,M,2,2,0,Between 25 and 45,10.886670283943698
11056,Australia,Partial College,Skilled Manual,F,M,2,3,0,Between 25 and 45,10.560696626290444
11057,Australia,Graduate Degree,Management,M,M,2,2,0,Between 25 and 45,11.691406322378246
11058,Australia,Partial College,Skilled Manual,M,M,2,2,0,Between 25 and 45,11.695097010513058
11059,Australia,Partial College,Skilled Manual,F,S,2,2,0,Between 25 and 45,11.373123021774923
11060,Australia,Partial College,Skilled Manual,M,M,2,2,0,Between 25 and 45,11.664512862394322
11061,Australia,Partial College,Skilled Manual,M,M,2,2,1,Between 25 and 45,11.614687513905766
11062,United States,High School,Skilled Manual,M,M,2,0,0,Under 25,10.861783578555313
11063,United States,High School,Skilled Manual,F,S,2,0,0,Under 25,10.811927547865569
11064,United States,High School,Skilled Manual,M,M,2,0,0,Under 25,10.973460282995074
11065,United States,Partial College,Skilled Manual,F,M,2,0,1,Under 25,11.20351571349861
11066,United States,Partial College,Professional,F,M,2,0,0,Under 25,11.029812279770773
11067,United States,Partial College,Professional,M,S,2,0,1,Under 25,11.472613756898362
11070,Australia,High School,Skilled Manual,M,M,2,2,0,Between 25 and 45,11.607171442348335
11071,Australia,High School,Skilled Manual,F,S,2,2,0,Between 25 and 45,11.577945120344157
11072,Australia,High School,Skilled Manual,F,S,2,2,0,Between 25 and 45,11.489103972844227
11073,Australia,High School,Skilled Manual,F,S,2,2,0,Between 25 and 45,10.983867979609434
11074,Australia,High School,Skilled Manual,M,S,2,2,0,Between 25 and 45,11.450347686985502
11075,Australia,High School,Professional,F,S,2,2,0,Between 25 and 45,11.504258010878667
11076,Australia,High School,Professional,M,S,2,2,0,Between 25 and 45,11.626646930271926
11077,Australia,High School,Professional,F,S,2,2,0,Between 25 and 45,11.596604629635184
11078,Canada,High School,Professional,F,S,2,0,1,Under 25,10.801288395096439
11079,Australia,Graduate Degree,Management,M,S,2,0,0,Between 25 and 45,12.057827825066173
11080,Australia,Graduate Degree,Management,M,M,2,0,1,Between 25 and 45,12.109506677553842
11081,United States,Bachelors ,Management,F,M,3,2,0,Between 25 and 45,11.905703768159652
11082,United States,Graduate Degree,Management,F,S,3,1,1,Between 25 and 45,11.91650212441446
11083,United States,Graduate Degree,Management,F,M,3,1,1,Between 25 and 45,12.00709107824302
11085,United States,High School,Professional,F,S,2,2,0,Between 25 and 45,11.11095424611632
11086,United States,Partial College,Professional,M,M,0,2,0,Between 25 and 45,11.491027443869012
11088,United States,Bachelors ,Management,M,M,0,2,0,Between 25 and 45,11.774597181989778
11089,United States,Bachelors ,Management,F,S,1,2,1,Between 25 and 45,11.426593856885356
11090,United States,Partial College,Professional,M,S,1,2,0,Between 25 and 45,11.642926884564483
11091,Canada,Partial College,Professional,M,M,1,2,0,Between 25 and 45,11.633548907293967
11093,Australia,Graduate Degree,Management,F,M,0,0,0,Between 25 and 45,11.579078307389754
11094,Australia,Partial College,Skilled Manual,M,S,1,1,1,Between 25 and 45,11.395121179088061
11095,Australia,Partial College,Skilled Manual,M,S,1,1,0,Between 25 and 45,11.596714990699912
11096,Australia,Bachelors ,Professional,M,M,1,1,1,Between 25 and 45,11.580313048671924
11097,Australia,Partial College,Skilled Manual,M,M,1,1,0,Between 25 and 45,11.498004701959655
11098,Australia,Partial College,Skilled Manual,F,S,1,1,0,Between 25 and 45,11.323059520718738
11099,Australia,Bachelors ,Professional,M,M,1,1,1,Between 25 and 45,11.550856885804784
11100,Australia,Partial College,Skilled Manual,F,S,1,1,0,Between 25 and 45,11.105257933306865
11101,Australia,Bachelors ,Professional,F,S,1,0,1,Between 25 and 45,11.228836928028578
11102,Australia,Bachelors ,Professional,F,S,4,5,1,Between 25 and 45,11.463388522030929
11103,Australia,Bachelors ,Professional,F,S,1,0,0,Between 25 and 45,11.351429541435136
11104,Australia,Bachelors ,Professional,M,M,1,0,0,Between 25 and 45,11.5370813481813
11105,Australia,Bachelors ,Professional,F,S,1,0,0,Between 25 and 45,11.390136168877607
11106,Australia,Bachelors ,Professional,M,S,1,0,1,Between 25 and 45,11.490495790004044
11107,Australia,Bachelors ,Professional,F,M,1,1,1,Between 25 and 45,11.672634951676818
11109,Australia,Bachelors ,Professional,M,S,2,0,1,Between 25 and 45,11.579564902636335
11110,Australia,Partial College,Skilled Manual,M,M,1,1,1,Between 25 and 45,11.251716532849226
11111,Australia,Partial College,Skilled Manual,F,M,1,1,1,Between 25 and 45,11.046148624038919
11112,Australia,Partial College,Skilled Manual,F,M,1,1,0,Between 25 and 45,11.200281076894816
11113,Australia,Bachelors ,Professional,M,M,2,5,1,Between 25 and 45,11.554259328463205
16475,Germany,Partial High School,Manual,M,S,2,0,0,Under 25,9.836759970485419
11115,Australia,Partial College,Skilled Manual,M,M,2,5,1,Between 25 and 45,11.443896878559793
11116,Australia,Partial College,Skilled Manual,M,M,2,5,1,Between 25 and 45,11.371016218787535
11117,Australia,Partial College,Skilled Manual,F,M,3,5,1,Between 25 and 45,11.201988412705349
11119,Australia,Partial College,Clerical,M,S,2,2,0,Over 55,10.841109155112113
11120,Australia,Bachelors ,Management,F,S,1,2,0,Over 55,10.864369167738158
11122,Australia,Partial College,Skilled Manual,M,M,3,5,0,Between 25 and 45,11.39205642248924
11123,Australia,Partial College,Skilled Manual,M,M,3,5,1,Between 25 and 45,11.533845115222732
11124,Australia,Partial College,Skilled Manual,M,S,1,1,1,Between 25 and 45,11.57941520623906
11125,Australia,Partial College,Skilled Manual,F,S,1,1,0,Between 25 and 45,11.093310721257621
11126,Australia,High School,Skilled Manual,M,M,2,2,0,Between 45 and 55,10.399920091014481
11127,United States,High School,Skilled Manual,F,M,1,0,0,Under 25,10.738090891650067
11129,United States,High School,Skilled Manual,F,S,1,0,0,Under 25,10.377296432622842
11130,United States,High School,Skilled Manual,F,M,2,0,0,Under 25,10.45964020788716
11131,Canada,High School,Skilled Manual,F,M,2,0,0,Under 25,10.578114283458694
11132,Canada,High School,Skilled Manual,F,S,2,0,0,Under 25,10.695099024366057
11133,United States,Partial High School,Clerical,F,S,2,0,0,Under 25,10.518943425380202
11134,Australia,High School,Skilled Manual,M,S,2,5,1,Between 45 and 55,10.17385814221302
11135,United States,Partial High School,Clerical,M,S,2,0,0,Under 25,11.076170907915058
11136,Canada,High School,Skilled Manual,F,S,2,0,0,Under 25,10.55911457318215
11137,United States,High School,Skilled Manual,F,M,2,0,0,Under 25,10.664550357894438
11138,United States,High School,Skilled Manual,F,M,2,0,0,Under 25,10.794911656680155
11139,Australia,Partial College,Clerical,F,S,2,2,0,Over 55,10.225933304924201
11140,United States,Partial High School,Clerical,M,S,2,0,0,Under 25,11.076480395251759
11141,United States,High School,Skilled Manual,F,M,2,0,0,Under 25,10.401714140725604
11142,Canada,High School,Skilled Manual,M,S,2,0,1,Under 25,11.058606190644545
11143,United States,High School,Skilled Manual,M,M,2,0,0,Under 25,10.684325046223062
11144,United States,High School,Skilled Manual,M,S,2,0,0,Under 25,10.913960555637539
11145,United States,High School,Skilled Manual,F,S,2,0,0,Under 25,10.2985992485648
11146,Australia,Bachelors ,Management,F,S,2,2,0,Over 55,11.111462338241362
11147,Australia,Graduate Degree,Management,M,M,1,2,0,Over 55,11.729737011387403
11148,Australia,Bachelors ,Management,M,M,2,2,0,Over 55,11.054866216741466
11149,Australia,Bachelors ,Management,M,M,2,2,0,Over 55,11.319923070568006
11150,Australia,Bachelors ,Management,M,S,2,2,0,Over 55,11.262603401275525
11151,Australia,Graduate Degree,Management,F,S,1,2,0,Between 45 and 55,11.455137441202835
11152,United States,High School,Skilled Manual,M,S,2,0,1,Under 25,11.04376947637563
11153,United States,High School,Skilled Manual,F,M,2,0,0,Under 25,10.524843306446932
11154,United States,Partial College,Skilled Manual,F,S,1,0,0,Under 25,10.415562395702551
11155,United States,Partial College,Skilled Manual,M,S,1,0,1,Under 25,11.013913122156428
11157,United States,High School,Skilled Manual,F,M,2,0,0,Under 25,10.728517893131238
11158,United States,High School,Skilled Manual,M,S,2,0,0,Under 25,10.955602047544657
11159,United States,High School,Skilled Manual,F,S,2,0,0,Under 25,10.37452190040887
11160,United States,Partial College,Skilled Manual,M,S,1,0,0,Under 25,10.904744237612876
11161,United States,Partial College,Skilled Manual,F,S,1,0,1,Under 25,10.73691827854313
11163,United States,Partial College,Skilled Manual,M,M,1,0,0,Under 25,10.947802037796388
11164,United States,Partial College,Skilled Manual,M,S,1,0,1,Under 25,10.798472928582948
11165,United States,Partial College,Skilled Manual,F,M,1,0,0,Under 25,11.398120490484402
11166,United States,Partial College,Skilled Manual,F,S,2,0,1,Between 25 and 45,11.156836063853547
11169,United States,Bachelors ,Management,M,M,1,4,1,Between 25 and 45,11.664126083356361
11170,United States,Bachelors ,Management,F,M,1,4,1,Between 25 and 45,11.558548714994645
11171,United States,Bachelors ,Management,M,S,2,1,1,Between 25 and 45,11.765829739886065
11172,United States,Bachelors ,Management,F,M,2,1,0,Between 25 and 45,11.488796693391635
11173,United States,Graduate Degree,Management,F,S,4,0,0,Between 25 and 45,11.927138861636093
11174,United States,Graduate Degree,Management,M,M,0,1,1,Between 25 and 45,12.118502930880897
11175,United States,Partial College,Skilled Manual,M,S,2,0,1,Between 25 and 45,11.493049234965437
11176,Canada,Bachelors ,Management,M,M,1,4,1,Between 25 and 45,11.855628251342077
11177,United States,Graduate Degree,Management,M,M,2,4,1,Between 45 and 55,12.131656164253945
11179,United States,Graduate Degree,Management,F,M,3,4,0,Between 45 and 55,11.862483141140077
11180,United States,Bachelors ,Management,F,M,4,3,1,Between 45 and 55,11.88570207845486
11181,United States,Graduate Degree,Management,M,M,2,3,0,Between 45 and 55,12.125426422444509
11182,United States,Bachelors ,Management,F,S,2,4,0,Between 45 and 55,11.300857848403131
11183,United States,Bachelors ,Management,F,S,2,4,1,Between 45 and 55,11.411623369439903
11184,United States,Bachelors ,Management,F,S,2,4,0,Between 45 and 55,11.41902129626888
11185,Canada,Bachelors ,Management,F,S,2,4,0,Between 45 and 55,11.331451548827411
11186,United States,Bachelors ,Management,F,S,2,4,0,Between 45 and 55,11.287516850335823
11187,United States,Graduate Degree,Management,F,M,2,4,0,Between 45 and 55,11.360112223706492
11188,United States,Graduate Degree,Management,F,M,2,4,0,Between 45 and 55,11.554825278434906
11189,United States,Graduate Degree,Management,M,S,2,4,0,Between 45 and 55,11.711366403644066
11190,United States,Bachelors ,Management,M,M,2,5,0,Between 45 and 55,11.470821398947416
11191,United States,Bachelors ,Management,F,S,3,5,0,Between 45 and 55,11.290469177436155
11192,United States,Bachelors ,Management,M,M,2,4,0,Between 45 and 55,11.628831184014418
11193,United States,Bachelors ,Management,M,M,2,4,0,Between 45 and 55,11.61792491545187
11194,United States,Bachelors ,Management,F,M,2,4,0,Between 45 and 55,11.404136857893421
11195,United States,Bachelors ,Management,F,M,3,5,0,Between 45 and 55,11.36612934064356
11196,United States,Bachelors ,Management,M,M,3,5,0,Between 45 and 55,11.481795929773307
11197,United States,Bachelors ,Management,F,M,1,3,1,Between 45 and 55,11.370774170365143
11198,United States,Bachelors ,Management,F,S,1,4,0,Between 45 and 55,11.338691118358893
11199,United States,Bachelors ,Management,F,M,1,4,0,Between 45 and 55,11.305852093833513
11200,Canada,Bachelors ,Management,M,M,1,4,1,Between 45 and 55,11.52417198510996
11201,United States,Bachelors ,Management,F,M,1,4,0,Between 45 and 55,11.329675477317695
11202,United States,Bachelors ,Management,F,M,2,5,0,Between 45 and 55,11.476448185159956
11203,Canada,High School,Professional,M,M,2,2,0,Between 45 and 55,10.92240707229499
11204,United States,High School,Professional,F,M,2,2,0,Between 45 and 55,10.823790225800138
11205,United States,High School,Professional,F,M,2,2,0,Between 45 and 55,10.861227282322822
11206,United States,Partial College,Professional,M,M,1,2,0,Between 45 and 55,11.481259343891216
11208,United States,Bachelors ,Management,F,M,0,2,1,Between 45 and 55,11.307388503976142
11209,United States,Bachelors ,Management,F,M,0,2,1,Between 45 and 55,11.200800415433207
11210,United States,Partial College,Professional,M,M,2,4,0,Between 45 and 55,11.380136653706765
11211,Canada,High School,Professional,F,M,2,2,1,Between 45 and 55,10.826157891374322
11212,Canada,High School,Professional,F,M,2,2,0,Between 45 and 55,10.783114300038692
11213,United States,Partial College,Professional,F,S,2,2,0,Between 45 and 55,11.14808873263942
11214,United States,Partial College,Professional,M,S,2,2,0,Between 45 and 55,11.42117195271862
11216,United States,Partial College,Professional,F,S,2,2,0,Between 45 and 55,11.28210250231215
11217,United States,Partial College,Professional,F,S,2,2,1,Between 45 and 55,11.308235592314265
11218,United States,Partial College,Professional,F,S,2,2,0,Between 45 and 55,11.241379174427852
11219,United States,High School,Professional,M,M,2,2,0,Between 45 and 55,11.391401691469984
11220,United States,Partial College,Professional,F,M,1,2,0,Between 45 and 55,11.502208240129024
11221,United States,Partial College,Professional,M,M,1,4,0,Between 45 and 55,11.580714946006585
11222,United States,Bachelors ,Management,F,M,1,3,0,Between 45 and 55,11.491068328614919
11223,Canada,High School,Professional,F,S,2,2,1,Between 45 and 55,11.448450941784744
11224,United States,High School,Professional,F,S,2,2,0,Between 45 and 55,10.98201617442016
11225,United States,Partial College,Professional,F,M,1,2,0,Between 45 and 55,11.229235413787984
11226,United States,Partial College,Professional,F,M,1,2,0,Between 45 and 55,11.153117045391879
11227,United States,Partial College,Professional,M,S,2,2,1,Between 45 and 55,11.581760990745659
11228,United States,Partial College,Professional,F,M,2,2,1,Between 45 and 55,11.32804062577311
11229,United States,Partial College,Professional,M,S,1,4,0,Between 45 and 55,11.282291429896768
11230,United States,Partial College,Professional,F,M,2,4,0,Between 45 and 55,11.319012992299138
11231,United States,High School,Professional,M,M,2,2,0,Between 25 and 45,11.3227088238563
11232,United States,High School,Professional,F,M,2,3,1,Between 25 and 45,11.405507278202936
11233,United States,Partial College,Professional,M,M,2,4,0,Between 25 and 45,11.471843019868999
11234,United States,Partial College,Professional,F,S,2,4,1,Between 25 and 45,11.309180047391001
11235,United States,Partial College,Professional,M,M,2,4,0,Between 25 and 45,11.48512252030814
11236,United States,Partial College,Professional,M,S,2,5,1,Between 25 and 45,11.552194253890928
11237,Germany,Bachelors ,Management,M,S,4,3,1,Between 25 and 45,12.009394524679594
11238,United Kingdom,Bachelors ,Management,F,S,4,3,1,Between 25 and 45,11.838033371512392
11239,United Kingdom,Partial College,Professional,F,M,2,4,0,Between 25 and 45,11.723793985408825
11240,United Kingdom,Partial College,Professional,F,M,4,3,1,Between 25 and 45,11.824482742855427
11241,France,Partial College,Professional,F,S,4,3,1,Between 25 and 45,11.65033682079319
11242,France,Partial College,Professional,M,M,3,4,1,Between 25 and 45,11.98458397414651
11243,United Kingdom,Partial College,Professional,F,M,3,3,0,Between 25 and 45,11.78321974207077
11244,United Kingdom,Bachelors ,Management,F,S,3,3,1,Between 25 and 45,11.846192570642494
11245,Germany,High School,Professional,M,M,4,4,1,Between 25 and 45,11.948421755640169
11246,Germany,High School,Professional,F,M,4,4,0,Between 25 and 45,11.827517202728867
11248,France,Partial College,Professional,M,M,4,4,1,Between 25 and 45,12.016085785218465
11249,Germany,Partial College,Professional,F,M,3,4,1,Between 25 and 45,11.763948739758959
11250,United Kingdom,High School,Professional,F,M,2,4,0,Between 25 and 45,11.850675456343609
11251,Canada,High School,Professional,M,S,2,4,0,Over 55,10.819838282610355
11252,United States,Graduate Degree,Management,M,S,1,3,0,Over 55,11.842257988677197
11253,Canada,Graduate Degree,Management,M,M,2,2,0,Over 55,11.759582397269078
11254,United States,Graduate Degree,Management,M,M,2,4,0,Over 55,11.528306567008531
11256,United States,Graduate Degree,Management,F,M,2,4,0,Over 55,11.39528991843679
11257,United States,Graduate Degree,Management,F,S,4,2,0,Over 55,11.895224295046553
11259,United States,Partial College,Professional,F,M,4,4,0,Between 25 and 45,11.476479299198095
11260,United States,Bachelors ,Management,F,M,3,2,1,Between 25 and 45,11.757744398683498
11261,United States,Graduate Degree,Management,F,M,1,2,0,Between 25 and 45,11.94778107636882
11262,Canada,Bachelors ,Management,F,M,0,4,0,Between 25 and 45,11.485379535540277
11263,United States,Partial College,Professional,F,M,3,5,0,Between 25 and 45,11.552549942753446
11264,United States,Partial College,Professional,M,S,3,5,1,Between 25 and 45,11.71976075656826
11265,United States,Partial College,Professional,F,M,3,5,1,Between 25 and 45,11.425262966956396
11266,United States,Partial College,Professional,F,S,1,0,0,Between 25 and 45,11.500326429393713
11267,United States,Partial College,Professional,M,S,4,4,1,Between 25 and 45,12.041009305292489
11268,United States,Graduate Degree,Management,F,M,2,2,0,Between 25 and 45,11.886383776943307
11269,United States,Graduate Degree,Management,M,M,2,2,1,Between 25 and 45,12.065856099838584
11270,United States,Graduate Degree,Management,M,M,3,2,1,Between 25 and 45,12.105484059417746
11271,United States,Bachelors ,Management,F,S,4,2,1,Between 25 and 45,11.858683030616108
11272,United States,Partial College,Professional,F,S,0,4,1,Between 25 and 45,11.185573511837868
11273,United States,Partial College,Professional,M,M,0,2,0,Between 25 and 45,11.666375899683093
11274,United States,Graduate Degree,Management,M,M,2,2,0,Over 55,11.232536731345913
11275,United States,Graduate Degree,Management,F,M,2,4,0,Over 55,11.634479160522805
11276,Canada,Partial College,Professional,F,M,2,4,1,Between 25 and 45,11.541522639947903
11277,Canada,Partial College,Professional,M,M,2,4,1,Between 25 and 45,11.739766173368674
11279,United States,Partial College,Professional,F,M,1,0,0,Between 25 and 45,11.359238011170559
11280,United States,Partial College,Professional,M,M,1,0,1,Between 25 and 45,11.739941508498312
11281,United States,Bachelors ,Management,F,S,4,4,1,Between 25 and 45,11.758229645621093
11282,United States,Partial College,Professional,M,M,4,5,1,Between 25 and 45,11.56672212332587
11283,United States,Bachelors ,Management,M,M,2,3,1,Between 25 and 45,11.957566413430033
11285,United States,Partial College,Professional,M,M,4,3,1,Between 25 and 45,12.013355238654096
11286,United States,Graduate Degree,Management,M,M,4,0,0,Between 25 and 45,12.04274750878171
11287,Canada,Partial College,Professional,M,M,3,5,1,Between 25 and 45,11.486499350733705
11289,United States,Bachelors ,Management,F,M,1,3,1,Between 25 and 45,11.726374172791594
11290,United States,Bachelors ,Management,F,M,3,3,1,Between 25 and 45,11.888906834686154
11291,United States,Bachelors ,Management,F,M,3,3,0,Between 25 and 45,11.780950599512616
11292,United States,Partial College,Professional,M,S,3,2,1,Between 25 and 45,11.919503287115782
11293,United States,High School,Professional,M,S,2,2,1,Between 25 and 45,11.476748913651063
11294,United States,High School,Professional,M,M,2,2,0,Between 25 and 45,11.439160510902152
11295,United States,Partial High School,Skilled Manual,F,S,2,2,1,Between 25 and 45,11.397480942858383
11296,United States,Graduate Degree,Management,F,S,2,2,0,Over 55,11.323700131859479
11297,United States,Graduate Degree,Management,M,S,2,4,0,Over 55,11.60028594768203
11298,United States,Graduate Degree,Management,M,M,2,4,0,Over 55,11.627289328580956
11299,United States,Graduate Degree,Management,M,M,2,4,0,Over 55,11.674363810847758
11300,Canada,Partial College,Professional,M,M,3,5,1,Between 25 and 45,11.71291501941759
11301,United States,Partial College,Professional,M,M,4,5,1,Between 25 and 45,11.759558954732594
11302,United States,High School,Professional,M,S,3,4,1,Between 25 and 45,11.7068543948059
11303,United States,High School,Professional,F,S,3,4,1,Between 25 and 45,11.572043069453317
11304,United States,Partial College,Professional,F,M,0,3,0,Between 25 and 45,11.46715374072406
11305,United States,Partial College,Professional,M,M,4,3,0,Between 25 and 45,11.959513322367398
11306,United States,Partial College,Professional,M,M,4,3,1,Between 25 and 45,12.053504046885568
11307,United States,Partial High School,Skilled Manual,M,M,2,2,0,Between 25 and 45,11.64679180149478
11308,United States,High School,Professional,M,M,2,2,0,Between 25 and 45,11.324388633308976
11309,United States,High School,Professional,F,S,2,2,0,Between 25 and 45,11.191590085889484
11310,United States,Graduate Degree,Management,F,S,2,3,1,Between 25 and 45,11.54473416148488
11311,United States,Graduate Degree,Management,F,S,2,3,0,Between 25 and 45,11.392631780270468
11312,United States,Graduate Degree,Management,F,S,2,3,0,Between 25 and 45,11.420557951273969
11313,United States,Graduate Degree,Management,M,S,2,3,0,Between 25 and 45,11.529526895467654
11314,United States,Graduate Degree,Management,F,S,2,3,1,Between 25 and 45,11.43486662146953
11315,United States,Graduate Degree,Management,F,S,2,3,1,Between 25 and 45,11.513015460920471
11316,Canada,Graduate Degree,Management,M,M,2,3,0,Between 25 and 45,11.713757965523047
11317,United States,Partial College,Professional,F,S,2,3,0,Between 25 and 45,10.722980999412945
11318,United States,Partial College,Professional,F,S,2,3,0,Between 25 and 45,11.058369897608577
11319,United States,Graduate Degree,Management,F,M,2,4,0,Over 55,11.511734756358006
11320,United States,Graduate Degree,Management,F,M,2,4,0,Over 55,11.854889735583097
11321,United States,Bachelors ,Management,M,M,2,5,0,Over 55,11.751587971942108
11322,United States,Bachelors ,Management,F,M,2,5,0,Over 55,11.610995469316592
11324,United States,Bachelors ,Management,M,M,2,5,0,Over 55,11.78404360987134
11325,United States,Bachelors ,Management,M,S,2,5,0,Over 55,11.760058943024534
11326,United States,Bachelors ,Management,M,M,4,3,1,Over 55,12.029049029829517
11328,Canada,Bachelors ,Management,M,M,2,5,0,Over 55,11.798502824065952
11329,United States,Bachelors ,Management,M,S,2,5,0,Over 55,11.897085217251057
11330,Canada,Graduate Degree,Management,M,M,1,4,0,Over 55,12.124265882826084
11333,United Kingdom,Graduate Degree,Clerical,F,M,0,1,0,Between 25 and 45,10.502296580719984
11334,United Kingdom,Bachelors ,Manual,F,M,0,1,0,Between 25 and 45,10.191482076169954
11335,Germany,Bachelors ,Manual,F,M,0,1,0,Between 25 and 45,10.233905786321381
11336,France,Graduate Degree,Clerical,M,M,0,1,1,Between 25 and 45,10.982611164620375
11337,United Kingdom,Bachelors ,Manual,M,M,0,1,0,Between 25 and 45,10.262594536666143
11338,Germany,Graduate Degree,Clerical,M,M,0,1,1,Between 25 and 45,10.979121175633827
11339,France,Graduate Degree,Clerical,M,S,0,1,0,Between 25 and 45,10.720156824378703
11340,France,Graduate Degree,Clerical,F,M,0,1,0,Over 55,10.27398157170024
11341,United Kingdom,Graduate Degree,Clerical,M,M,0,1,0,Over 55,10.755090418788047
11342,France,Graduate Degree,Clerical,M,M,0,5,1,Between 25 and 45,11.193876556768947
11343,United Kingdom,Bachelors ,Manual,M,M,0,1,0,Between 25 and 45,10.058480734501627
11344,United Kingdom,Partial College,Manual,F,M,0,1,0,Between 25 and 45,10.333970423619581
11345,France,Partial College,Manual,F,S,0,1,0,Between 25 and 45,9.690789259083457
11346,France,Partial College,Manual,F,S,1,2,0,Between 25 and 45,10.23480366200797
11347,Germany,Partial College,Manual,M,M,1,2,0,Between 25 and 45,10.048885755225484
11348,Germany,Partial College,Manual,M,M,1,2,0,Between 25 and 45,10.438869194198006
11349,Germany,Partial College,Manual,F,M,1,2,0,Between 25 and 45,9.977434797488211
11350,United Kingdom,Graduate Degree,Clerical,F,M,0,1,0,Over 55,11.050524859350896
11351,United Kingdom,Bachelors ,Clerical,F,S,0,1,0,Over 55,10.163425799678814
11352,France,Partial College,Manual,M,M,1,2,0,Over 55,9.56395062454207
11353,United Kingdom,Bachelors ,Clerical,F,S,0,1,0,Over 55,10.876045189863586
11354,Germany,Partial College,Manual,F,M,0,1,0,Between 45 and 55,9.47608353690921
11355,United Kingdom,Graduate Degree,Clerical,M,M,0,1,0,Between 45 and 55,11.188537913510032
